900회 : ['7', '13', '16', '18', '35', '38', '14']
901회 : ['5', '18', '20', '23', '30', '34', '21']
902회 : ['7', '19', '23', '24', '36', '39', '30']
903회 : ['2', '15', '16', '21', '22', '28', '45']
904회 : ['2', '6', '8', '26', '43', '45', '11']
905회 : ['3', '4', '16', '27', '38', '40', '20']
906회 : ['2', '5', '14', '28', '31', '32', '20']
907회 : ['21', '27', '29', '38', '40', '44', '37']
908회 : ['3', '16', '21', '22', '23', '44', '30']
909회 : ['7', '24', '29', '30', '34', '35', '33']
910회 : ['1', '11', '17', '27', '35', '39', '31']
911회 : ['4', '5', '12', '14', '32', '42', '35']
912회 : ['5', '8', '18', '21', '22', '38', '10']
913회 : ['6', '14', '16', '21', '27', '37', '40']
914회 : ['16', '19', '24', '33', '42', '44', '27']
915회 : ['2', '6', '11', '13', '22', '37', '14']
916회 : ['6', '21', '22', '32', '35', '36', '17']
917회 : ['1', '3', '23', '24', '27', '43', '34']
918회 : ['7', '11', '12', '31', '33', '38', '5']
919회 : ['9', '14', '17', '18', '42', '44', '35']
920회 : ['2', '3', '26', '33', '34', '43', '29']
921회 : ['5', '7', '12', '22', '28', '41', '1']
922회 : ['2', '6', '13', '17', '27', '43', '36']
923회 : ['3', '17', '18', '23', '36', '41', '26']
